station,assemblage_id
1030,diplopoda_pitfall
1058,diplopoda_pitfall
1090,diplopoda_pitfall
1141,diplopoda_pitfall
1166,diplopoda_pitfall
1174,diplopoda_pitfall
1180,diplopoda_pitfall
1237,diplopoda_pitfall
1243,diplopoda_pitfall
1274,diplopoda_pitfall
1310,diplopoda_pitfall
1366,diplopoda_pitfall
137,diplopoda_pitfall
1372,diplopoda_pitfall
1464,diplopoda_pitfall
1477,diplopoda_pitfall
1491,diplopoda_pitfall
152,diplopoda_pitfall
1537,diplopoda_pitfall
1549,diplopoda_pitfall
1556,diplopoda_pitfall
157,diplopoda_pitfall
1587,diplopoda_pitfall
1660,diplopoda_pitfall
1677,diplopoda_pitfall
1686,diplopoda_pitfall
1694,diplopoda_pitfall
1706,diplopoda_pitfall
1768,diplopoda_pitfall
1826,diplopoda_pitfall
1837,diplopoda_pitfall
1875,diplopoda_pitfall
1887,diplopoda_pitfall
1893,diplopoda_pitfall
1992,diplopoda_pitfall
1996,diplopoda_pitfall
2011,diplopoda_pitfall
2021,diplopoda_pitfall
2034,diplopoda_pitfall
2076,diplopoda_pitfall
215,diplopoda_pitfall
2182,diplopoda_pitfall
2205,diplopoda_pitfall
223,diplopoda_pitfall
2257,diplopoda_pitfall
2260,diplopoda_pitfall
2276,diplopoda_pitfall
2312,diplopoda_pitfall
288,diplopoda_pitfall
291,diplopoda_pitfall
391,diplopoda_pitfall
400,diplopoda_pitfall
408,diplopoda_pitfall
423,diplopoda_pitfall
476,diplopoda_pitfall
609,diplopoda_pitfall
620,diplopoda_pitfall
633,diplopoda_pitfall
644,diplopoda_pitfall
730,diplopoda_pitfall
788,diplopoda_pitfall
792,diplopoda_pitfall
805,diplopoda_pitfall
812,diplopoda_pitfall
827,diplopoda_pitfall
870,diplopoda_pitfall
926,diplopoda_pitfall
